GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1013529.0,110070675458.0,2023.0,PRM Powder River CBM Field,3487 Upper Powder River Road,Arvada,WY,82831,SHERIDAN COUNTY,POWDER RIVER MIDSTREAM,"303 W Wall Street, Suite 2300",Midland,TX,79701,100.0,211130.0,1013529,44.563845,-106.100441,Gathering & Boosting,other
1013544.0,,2023.0,Diamond Cryo,1964 CR 2903,Balmorhea,TX,79718,,EAGLECLAW MIDSTREAM SERVICES LLC,"414 W Texas Avenue, Suite 315",Midland,TX,79701,100.0,211130.0,1013544,31.00388,-103.754971,Direct Point Emitters,other
1013558.0,110070348250.0,2023.0,Mentone Gas Plant,2261 Pipeline Road,Mentone,TX,79754,LOVING COUNTY,WESTERN MIDSTREAM PARTNERS LP,9950 Woodloch Forest Drive,The Woodlands,TX,77380,100.0,211130.0,1013558,31.786111,-103.680555,Direct Point Emitters,other
1013573.0,110070716063.0,2023.0,EQT XL Midstream - 160A,400 Woodcliff Drive,Canonsburg,PA,15317,WASHINGTON COUNTY,XCL MIDSTREAM LLC,"380 Southpointe Boulevard, Suite 215",Canonsburg,PA,15317,100.0,211130.0,1013573,40.293994,-80.174312,Gathering & Boosting,other
1013580.0,,2023.0,Contango Basin 360,PO Box 13360,Oklahoma City,OK,73113,,CONTANGO RESOURCES LLC,717 Texas Ave. Suite 2900,Houston,TX,77002,100.0,211120.0,1013580,35.472416,-97.516982,Onshore Oil & Gas Prod.,other
1013593.0,,2023.0,"DTM Louisiana Gathering, LLC 230 - Arkla Basin GB",8334 U.S. 171,Grand Cane,LA,71032,,DT Midstream INC,"500 Woodward Avenue, Suite 2900",Detroit,MI,48226,100.0,486210.0,1013593,32.084863,-93.81012,Gathering & Boosting,other
1013595.0,,2023.0,Escondido Gulf Coast #220 OP,2002 W. Grand Parkway N. Suite 205,Katy,TX,77449,,ESCONDIDO RESOURCES II MANAGEMENT LLC,"2002 W. Grand Parkway N., Suite 205",Katy,TX,77449,100.0,211130.0,1013595,29.804421,-95.773253,Onshore Oil & Gas Prod.,other
1013601.0,,2023.0,Blackbeard Operating - 345 - Arkoma Basin,"1751 River Run, STE 405",Fort Worth,TX,76107,,BLACKBEARD OPERATING LLC,"200 N Loraine Street, Suite 300",Midland,TX,79701,100.0,211120.0,1013601,36.153517,-95.992116,Onshore Oil & Gas Prod.,other
1013609.0,110070385361.0,2023.0,Campo Viejo Gas Processing Plant,1548 County Road 165,Plains,TX,79355,YOAKUM COUNTY,STAKEHOLDER GAS SERVICES LLC,19122 US HWY 281 N Suite 113,San Antonio,TX,78258,100.0,211130.0,1013609,33.149918,-102.991166,Direct Point Emitters,other
1013612.0,,2023.0,WTG North Permian Midstream LLC 430 Permian Basin GB,"303 Veterans Airpark Lane, Suite 5000",Midland,TX,79705,,WTG NORTH PERMIAN MIDSTREAM LLC,303 Veterans Dr.,MIDLAND,TX,79705,100.0,211120.0,1013612,31.999241,-102.077096,Gathering & Boosting,other
1013614.0,,2023.0,"Citizen Energy III, LLC",320 S Boston Ave Suite 900,Tulsa,OK,74103,,CITIZEN ENERGY III LLC,320 S Boston Ave Suite 900,Tulsa,OK,74103,100.0,211120.0,1013614,36.153455,-95.98995,Onshore Oil & Gas Prod.,other
1013618.0,110069619933.0,2023.0,Jackson Lake Gas Plant,31405 County Road 10,Weldona,CO,80653,MORGAN COUNTY,STERLING ENERGY GROUP INC,"1400 16th Street, Suite 310",Denver,CO,80202,100.0,211130.0,1013618,40.452668,-103.955917,Direct Point Emitters,other
1013621.0,110070789268.0,2023.0,DKL Libby Gas Plant,674 Marathon Rd,Hobbs,NM,88240,LEA COUNTY,DELEK US HOLDINGS INC,310 Seven Springs Way Suite 500,Brentwood,TN,37027,100.0,211130.0,1013621,32.540693,-103.522351,Direct Point Emitters,other
1013634.0,110071232232.0,2023.0,Cureton - Front Range Gas Plant,,Keensburg,CO,80643,WELD COUNTY,WILLIAMS COS INC (THE),ONE WILLIAMS CENTER,TULSA,OK,74172,100.0,211130.0,1013634,40.127056,-104.586044,Direct Point Emitters,other
1013638.0,,2023.0,Iron Horse Gathering - Basin 360,1483 CR 1290,Amber,OK,73004,,IRON HORSE MIDSTREAM LLC,"8150 N. Central Expressway, Suite 1725",Dallas,TX,75206,100.0,211130.0,1013638,35.146018,-97.921775,Gathering & Boosting,other
1013639.0,110070716048.0,2023.0,Rowdy Jewell Gas Plant,404 Frontage Road,Gillette,WY,82716,CAMPBELL COUNTY,ROWDY PIPELINE LLC,404 Frontage Road,Gillette,WY,82716,100.0,211130.0,1013639,44.29713,-105.48866,Direct Point Emitters,other
1013647.0,,2023.0,Iron Horse Processing Plant,1419 CR 1290,Amber,OK,73004,,IRON HORSE MIDSTREAM LLC,"8150 N. Central Expressway, Suite 1725",Dallas,TX,75206,100.0,211130.0,1013647,35.145966,-97.921797,Direct Point Emitters,other
