GHGRP FACILITY ID,year,category,lat,lon
1000707,2010,other,38.4017,-90.3358
1000708,2010,other,33.65099,-85.85197
1000709,2010,other,38.9658,-92.3175
1000713,2010,other,37.1086,-93.2592
1000714,2010,other,37.27251,-79.99861
1000715,2010,other,36.5147,-89.5617
1000716,2010,other,39.5531,-92.6392
1000722,2010,other,41.4275,-96.4619
1000725,2010,other,41.1706,-95.9692
1000726,2010,other,36.0875,-115.0507
1000729,2010,other,43.1411,-71.4692
1000730,2010,other,43.0978,-70.7842
1000733,2010,top10_other,39.4547,-75.2011
1000739,2010,top10_other,35.5438,-89.198
1000741,2010,other,40.5661,-75.165
1000742,2010,other,40.8375,-74.0244
1000743,2010,other,40.0753,-74.8781
1000747,2010,other,40.7375,-74.1
1000751,2010,other,39.4889,-75.0347
1000752,2010,other,31.8047,-106.5472
1000753,2010,top10_other,32.7142,-103.3015
1000754,2010,other,35.1716,-106.6019
1000755,2010,top10_other,32.7131,-103.3533
1000758,2010,other,41.573,-73.9646
1000759,2010,other,40.5915,-74.2027
1000761,2010,other,40.7281,-73.9742
1000763,2010,other,40.6486,-74.0209
1000764,2010,other,40.7585,-73.9451
1000766,2010,other,40.7711,-73.9911
1000767,2010,other,40.768,-73.9515
1000768,2010,other,40.6169,-73.6486
1000771,2010,other,40.9231,-73.3417
1000774,2010,other,42.6789,-76.9483
1000777,2010,other,42.5905,-73.7636
1000780,2010,other,41.2044,-73.9689
1000781,2010,other,40.7586,-73.9592
1000783,2010,other,43.4929,-116.7045
1000784,2010,other,42.0917,-79.2417
1000785,2010,other,35.595,-79.0492
1000786,2010,other,35.3775,-78.0875
1000787,2010,other,36.4833,-79.0731
1000788,2010,top10_other,45.7934,-119.313
1000790,2010,other,44.5397,-88.0083
1000791,2010,other,33.0917,-82.9803
1000792,2010,other,39.2242,-88.7594
1000793,2010,other,38.663697,-82.16883
1000794,2010,other,35.8619,-90.0253
1000795,2010,other,32.2983,-107.78
1000796,2010,top10_other,32.5733,-116.9153
1000798,2010,top10_other,29.4731,-95.6244
1000799,2010,other,39.3922,-87.5103
1000800,2010,other,33.2961,-92.5933
1000801,2010,other,34.7094,-84.9182
1000802,2010,other,40.3372,-79.9108
1000805,2010,top10_other,42.4776,-87.895
1000806,2010,top10_other,37.2169,-121.7439
1000807,2010,other,30.218908,-91.066327
1000808,2010,other,39.0839,-82.3328
1000809,2010,other,43.1864,-84.8429
1000811,2010,other,32.2792,-81.2842
1000812,2010,other,33.5883,-85.9731
1000813,2010,other,33.0,-85.9031
1000814,2010,other,27.5242,-81.9236
1000815,2010,other,34.2963,-92.8683
1000816,2010,other,30.3215,-91.2392
1000817,2010,other,41.9997,-88.2445
1000818,2010,other,37.8667,-78.3813
1000819,2010,other,32.6503,-86.7386
1000821,2010,top10_other,34.8358,-89.2017
1000822,2010,other,33.33,-112.84
1000823,2010,other,42.2383,-89.1014
1000824,2010,other,35.6853,-97.2242
1000825,2010,top10_other,29.7153,-95.1361
1000826,2010,other,32.7056,-92.0697
1000827,2010,other,44.2853,-105.3841
1000828,2010,other,34.2824,-77.9864
1000830,2010,other,35.1897,-81.0122
