GHGRP FACILITY ID,PRIMARY_OPERATOR
1000451.0,BASIN ELECTRIC POWER COOPERATIVE
1000452.0,INEOS US CHEMICALS CO
1000453.0,CPN MANAGEMENT LP
1000454.0,BERKSHIRE HATHAWAY INC
1000455.0,PORTLAND GENERAL ELECTRIC CO
1000456.0,J POWER USA DEVELOPMENT CO LTD
1000457.0,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY
1000458.0,MIDDLE RIVER POWER LLC
1000459.0,NORTH CAROLINA ELECTRIC MEMBERSHIP CORP
1000460.0,THE SOUTHERN CO
1000461.0,RIVERBAY CORP-CO-OP CITY
1000462.0,NORTH CAROLINA ELECTRIC MEMBERSHIP CORP
1000463.0,CITY OF FARMINGTON NEW MEXICO
1000464.0,TURLOCK IRRIGATION DISTRICT EMPLOYEES ASSOC
1000465.0,BLACK HILLS CORP
1000466.0,BIOURJA GROUP
1000467.0,NEW YORK POWER AUTHORITY
1000468.0,GREAT RIVER ENERGY
1000470.0,GOLDEN SPREAD ELECTRIC COOPERATIVE INC
1000471.0,CITY OF RIVERSIDE PUBLIC UTILITY
1000472.0,PARIS GENERATION LP
1000473.0,HOUSEHOLD HAZARDOUS MATERIALS
1000474.0,USA UNITED SUPPLIERS OF AMERICA INC
1000475.0,PLATINUM EQUITY LLC
1000477.0,SOLID WASTE DIV CITY OF BILLINGS MONTANA
1000478.0,COUNTY OF SANDOVAL NEW MEXICO
1000479.0,COMMUNITY NATURAL GAS CO INC
1000481.0,STARWOOD CAPITAL GROUP LLC
1000482.0,REENERGY BLACK RIVER LLC
1000483.0,COLORADO BEND 1 POWER LLC
1000484.0,UGI CORP
1000485.0,ROSEVILLE ELECTRIC
1000486.0,INVENERGY LLC
1000487.0,AMERICAN ELECTRIC POWER CO INC
1000488.0,INVENERGY LLC
1000489.0,UNS ENERGY CORP
1000490.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000491.0,WEC Energy Group Inc
1000493.0,CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO ARKANSAS
1000498.0,CENTRAL IOWA POWER COOPERATIVE
1000501.0,CPN MANAGEMENT LP
1000504.0,CPN MANAGEMENT LP
1000507.0,CHEVRON CORP
1000510.0,XCEL ENERGY INC
1000511.0,GREAT PLAINS ENERGY SERVICES INC
1000512.0,EVERGY INC
1000513.0,NELSON INDUSTRIAL STEAM CO LTD
1000514.0,GREAT PLAINS ENERGY SERVICES INC
1000520.0,BERKSHIRE HATHAWAY INC
1000521.0,BERKSHIRE HATHAWAY INC
1000522.0,DOUGLAS COUNTY NEBRASKA
1000523.0,TEAM TEN LLC
1000528.0,MDU RESOURCES GROUP INC
1000529.0,TERREBONNE PARISH CONSOLIDATED GOVERNMENT
1000530.0,ENTERGY TEXAS INC
1000531.0,EAST TEXAS ELECTRIC COOPERATIVE INC
1000533.0,CRH AMERICAS INC
1000534.0,CMS GENERATION FILER CITY INC
1000535.0,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE
1000536.0,COUNTY OF LA CROSSE WISCONSIN
1000538.0,MPH WATERBURY LLC
1000539.0,MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION
1000540.0,EL PASO ELECTRIC CO
1000541.0,IMPERIAL IRRIGATION DISTRICT
1000542.0,LOWER COLORADO RIVER AUTHORITY
1000544.0,JACKSONVILLE ELECTRIC AUTHORITY
1000545.0,MIDDLE RIVER POWER LLC
1000546.0,EIF PANOCHE LLC
1000547.0,NRG ENERGY INC
1000548.0,J POWER USA DEVELOPMENT CO LTD
1000550.0,DOMINION ENERGY INC
1000552.0,DOMINION ENERGY INC
1000555.0,BAYONNE ENERGY CENTER LLC
1000557.0,STATE OF CALIFORNIA
1000558.0,BLACK HILLS CORP
1000559.0,TRI-STATE GENERATION & TRANSMISSION ASSOC INC
1000561.0,GREAT RIVER ENERGY
1000562.0,BASIN ELECTRIC POWER COOPERATIVE
1000563.0,BASIN ELECTRIC POWER COOPERATIVE
1000564.0,CITY OF HAMPTON VIRGINIA
1000565.0,THE SOUTHERN CO
1000566.0,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY
1000567.0,CONSOLIDATED EDISON INC
1000569.0,CITY OF SOMERSET KENTUCKY
1000570.0,CPS ENERGY
1000580.0,LONGWOOD ENERGY PARTNERS LLC
1000581.0,EVERGY INC
1000582.0,EVERGY INC
1000583.0,EVERGY INC
1000584.0,WESTAR ENERGY INC
1000586.0,EVERGY INC
1000588.0,CLEVELAND-CLIFFS INC
1000589.0,Koch Industries Inc
1000590.0,KOCH Industries Inc
1000591.0,CORDIA LLC
1000592.0,HUNTSMAN CORP
1000593.0,PIXELLE SPECIALTY SOLUTIONS LLC
1000595.0,BERKSHIRE HATHAWAY INC
1000596.0,GREENLEAF ENERGY UNIT 2 LLC
1000597.0,CPN MANAGEMENT LP
1000600.0,UNS ENERGY CORP
1000602.0,GRAPHIC PACKAGING HOLDING CO
1000603.0,TOKAI CARBON CB LTD
1000604.0,TOKAI CARBON CB LTD
1000605.0,TOKAI CARBON CB LTD
1000606.0,LAMB WESTON HOLDINGS INC
1000607.0,LAMB WESTON HOLDINGS INC
1000609.0,LAMB WESTON HOLDINGS INC
1000610.0,LAMB-WESTON/RDO FROZEN FOODS INC
1000611.0,LAMB WESTON HOLDINGS INC
1000613.0,LAMB WESTON HOLDINGS INC
1000614.0,LAMB WESTON HOLDINGS INC
1000615.0,LAMB WESTON HOLDINGS INC
1000618.0,BERKSHIRE HATHAWAY INC
1000619.0,BERKSHIRE HATHAWAY INC
1000620.0,BERKSHIRE HATHAWAY INC
1000621.0,BERKSHIRE HATHAWAY INC
1000623.0,NORTHEAST MARYLAND WASTE DISPOSAL AUTHORITY
1000624.0,WESTROCK CO
1000625.0,HONEYWELL INTERNATIONAL INC
1000626.0,HONEYWELL INTERNATIONAL INC
1000627.0,ADVANSIX INC
1000628.0,HONEYWELL INTERNATIONAL INC
1000629.0,HONEYWELL INTERNATIONAL INC
1000630.0,ADVANSIX INC
1000631.0,HONEYWELL INTERNATIONAL INC
1000633.0,TITAN AMERICA LLC
1000637.0,THE BOEING CO
1000638.0,THE BOEING CO
1000639.0,THE BOEING CO
1000640.0,THE BOEING CO
1000644.0,CONSTELLATION ENERGY CORP
1000649.0,GENON ENERGY INC
1000650.0,GENON ENERGY INC
1000651.0,GENON ENERGY INC
1000653.0,CONSTELLATION ENERGY CORP
1000655.0,CONSTELLATION ENERGY CORP
1000656.0,PRESIDENT & FELLOWS OF HARVARD COLLEGE
1000657.0,VICINITY ENERGY INC
1000658.0,JERA AMERICAS HOLDINGS INC
1000665.0,BRAINTREE ELECTRIC LIGHT DEPARTMENT
1000667.0,TAUNTON MUNICIPAL LIGHTING PLANT
